Pas_ID;Pas_Result;Pas_Description;Pas_Type;Pas_Meat;Pas_Sauce;Pas_Topping
PAS123;Spicy Pesto Fusilli Pasta;With some mushrooms, this will be divine!;Fusilli;None;Pesto;Garlic
PAS124;Spicy Pesto Fusilli Pasta;With some mushrooms, this will be divine!;Fusilli;None;Pesto;None
PAS125;Fusilli Aglio e Olio;Hmm… I'll allow it.;Fusilli;None;None;Herbs
PAS126;Fusilli Aglio e Olio;Hmm… I'll allow it.;Fusilli;None;None;Pepper
PAS127;Fusilli Aglio e Olio;Hmm… I'll allow it.;Fusilli;None;None;Garlic
PAS128;Fusilli Aglio e Olio;Hmm… I'll allow it.;Fusilli;None;None;None
PAS129;Creamy Beef and Mushroom Stroganoff;The best beef pasta! Hands down.;Linguine;Beef;White Cream;Herbs
PAS130;Creamy Beef and Mushroom Stroganoff;The best beef pasta! Hands down.;Linguine;Beef;White Cream;Pepper
PAS131;Creamy Beef and Mushroom Stroganoff;The best beef pasta! Hands down.;Linguine;Beef;White Cream;Garlic
PAS132;Creamy Beef and Mushroom Stroganoff;The best beef pasta! Hands down.;Linguine;Beef;White Cream;None
PAS133;Beef Linguine Pasta;Add some caramelized onions, and that’s a great meal.;Linguine;Beef;Tomato;Herbs
PAS134;Beef Linguine Pasta;Add some caramelized onions, and that’s a great meal.;Linguine;Beef;Tomato;Pepper
PAS135;Beef Linguine Pasta;Add some caramelized onions, and that’s a great meal.;Linguine;Beef;Tomato;Garlic
PAS136;Beef Linguine Pasta;Add some caramelized onions, and that’s a great meal.;Linguine;Beef;Tomato;None
PAS137;Ground Beef Pesto Linguine;Don't be so pesto-mystic and give this one a try!;Linguine;Beef;Pesto;Herbs
PAS138;Ground Beef Pesto Linguine;Don't be so pesto-mystic and give this one a try!;Linguine;Beef;Pesto;Pepper
PAS139;Ground Beef Pesto Linguine;Don't be so pesto-mystic and give this one a try!;Linguine;Beef;Pesto;Garlic
PAS140;Ground Beef Pesto Linguine;Don't be so pesto-mystic and give this one a try!;Linguine;Beef;Pesto;None
PAS141;Ground Beef Linguine;It's the dish that your mom manages to cook from an empty fridge.;Linguine;Beef;None;Herbs
PAS142;Ground Beef Linguine;It's the dish that your mom manages to cook from an empty fridge.;Linguine;Beef;None;Pepper
PAS143;Ground Beef Linguine;It's the dish that your mom manages to cook from an empty fridge.;Linguine;Beef;None;Garlic
PAS144;Ground Beef Linguine;It's the dish that your mom manages to cook from an empty fridge.;Linguine;Beef;None;None
PAS145;Creamy Chicken Linguine;Imagine this with some garlic toast or bruschetta.;Linguine;Chicken;White Cream;Herbs
PAS146;Creamy Chicken Linguine;Imagine this with some garlic toast or bruschetta.;Linguine;Chicken;White Cream;Pepper
PAS147;Creamy Chicken Linguine;Imagine this with some garlic toast or bruschetta.;Linguine;Chicken;White Cream;Garlic
PAS148;Creamy Chicken Linguine;Imagine this with some garlic toast or bruschetta.;Linguine;Chicken;White Cream;None
PAS149;Tomato Basil Linguine with Chicken;Sounds healthy!;Linguine;Chicken;Tomato;Herbs
PAS150;Tomato Basil Linguine with Chicken;Sounds healthy!;Linguine;Chicken;Tomato;Pepper
PAS151;Tomato Basil Linguine with Chicken;Sounds healthy!;Linguine;Chicken;Tomato;Garlic
PAS152;Tomato Basil Linguine with Chicken;Sounds healthy!;Linguine;Chicken;Tomato;None
PAS153;Pesto Chicken with Linguine;This is the most im-peck-cable dish!;Linguine;Chicken;Pesto;Herbs
PAS154;Pesto Chicken with Linguine;This is the most im-peck-cable dish!;Linguine;Chicken;Pesto;Pepper
PAS155;Pesto Chicken with Linguine;This is the most im-peck-cable dish!;Linguine;Chicken;Pesto;Garlic
PAS156;Pesto Chicken with Linguine;This is the most im-peck-cable dish!;Linguine;Chicken;Pesto;None
PAS157;Parmesan Bacon Chicken Linguine;How posh!;Linguine;Chicken;None;Herbs
PAS158;Parmesan Bacon Chicken Linguine;How posh!;Linguine;Chicken;None;Pepper
PAS159;Parmesan Bacon Chicken Linguine;How posh!;Linguine;Chicken;None;Garlic
PAS160;Parmesan Bacon Chicken Linguine;How posh!;Linguine;Chicken;None;None
PAS161;Creamy Linguine with Prawn;Simple yet delicious.;Linguine;Seafood;White Cream;Herbs
PAS162;Creamy Linguine with Prawn;Simple yet delicious.;Linguine;Seafood;White Cream;Pepper
PAS163;Creamy Linguine with Prawn;Simple yet delicious.;Linguine;Seafood;White Cream;Garlic
PAS164;Creamy Linguine with Prawn;Simple yet delicious.;Linguine;Seafood;White Cream;None
PAS165;Seafood Linguine Pasta;Its so good Martha Stewart needs one hour and forty minutes to prepare it.;Linguine;Seafood;Tomato;Herbs
PAS166;Seafood Linguine Pasta;Its so good Martha Stewart needs one hour and forty minutes to prepare it.;Linguine;Seafood;Tomato;Pepper
PAS167;Seafood Linguine Pasta;Its so good Martha Stewart needs one hour and forty minutes to prepare it.;Linguine;Seafood;Tomato;Garlic
PAS168;Seafood Linguine Pasta;Its so good Martha Stewart needs one hour and forty minutes to prepare it.;Linguine;Seafood;Tomato;None
PAS169;Shrimp Pesto Linguine Pasta;Incredibly unconventional.;Linguine;Seafood;Pesto;Herbs
PAS170;Shrimp Pesto Linguine Pasta;Incredibly unconventional.;Linguine;Seafood;Pesto;Pepper
PAS171;Shrimp Pesto Linguine Pasta;Incredibly unconventional.;Linguine;Seafood;Pesto;Garlic
PAS172;Shrimp Pesto Linguine Pasta;Incredibly unconventional.;Linguine;Seafood;Pesto;None
PAS173;Garlic Seafood Linguine Pasta;Add all the garlics!;Linguine;Seafood;None;Herbs
PAS174;Garlic Seafood Linguine Pasta;Add all the garlics!;Linguine;Seafood;None;Pepper
PAS175;Garlic Seafood Linguine Pasta;Add all the garlics!;Linguine;Seafood;None;Garlic
PAS176;Garlic Seafood Linguine Pasta;Add all the garlics!;Linguine;Seafood;None;None
PAS177;Creamy Mushroom Linguine;It's Mario favourite.;Linguine;None;White Cream;Herbs
PAS178;Creamy Mushroom Linguine;It's Mario favourite.;Linguine;None;White Cream;Pepper
PAS179;Creamy Mushroom Linguine;It's Mario favourite.;Linguine;None;White Cream;Garlic
PAS180;Creamy Mushroom Linguine;It's Mario favourite.;Linguine;None;White Cream;None
PAS181;Linguine with Tomato Sauce;One of the best vegan spaghetti but now its linguine.;Linguine;None;Tomato;Herbs
PAS182;Linguine with Tomato Sauce;One of the best vegan spaghetti but now its linguine.;Linguine;None;Tomato;Pepper
PAS183;Linguine with Tomato Sauce;One of the best vegan spaghetti but now its linguine.;Linguine;None;Tomato;Garlic
PAS184;Linguine with Tomato Sauce;One of the best vegan spaghetti but now its linguine.;Linguine;None;Tomato;None
PAS185;Pesto Linguine;What do you do when you had too much pesto linguine? You take some pesto-bismol.;Linguine;None;Pesto;Herbs
PAS186;Pesto Linguine;What do you do when you had too much pesto linguine? You take some pesto-bismol.;Linguine;None;Pesto;Pepper
PAS187;Pesto Linguine;What do you do when you had too much pesto linguine? You take some pesto-bismol.;Linguine;None;Pesto;Garlic
PAS188;Pesto Linguine;What do you do when you had too much pesto linguine? You take some pesto-bismol.;Linguine;None;Pesto;None
PAS189;Linguine Aglio e Olio;This is so basic that its im-pasta-sible to mess it up.;Linguine;None;None;Herbs
PAS190;Linguine Aglio e Olio;This is so basic that its im-pasta-sible to mess it up.;Linguine;None;None;Pepper
PAS191;Linguine Aglio e Olio;This is so basic that its im-pasta-sible to mess it up.;Linguine;None;None;Garlic
PAS192;Linguine Aglio e Olio;This is so basic that its im-pasta-sible to mess it up.;Linguine;None;None;None
PAS193;Creamy Beef with Fettuccine;Yes. Just yes.;Fettuccine;Beef;White Cream;Herbs
PAS194;Creamy Beef with Fettuccine;Yes. Just yes.;Fettuccine;Beef;White Cream;Pepper
PAS195;Creamy Beef with Fettuccine;Yes. Just yes.;Fettuccine;Beef;White Cream;Garlic
PAS196;Creamy Beef with Fettuccine;Yes. Just yes.;Fettuccine;Beef;White Cream;None
PAS197;Fettuccine Bolognese;When you want something familiar, but also different.;Fettuccine;Beef;Tomato;Herbs
PAS198;Fettuccine Bolognese;When you want something familiar, but also different.;Fettuccine;Beef;Tomato;Pepper
PAS199;Fettuccine Bolognese;When you want something familiar, but also different.;Fettuccine;Beef;Tomato;Garlic
PAS200;Fettuccine Bolognese;When you want something familiar, but also different.;Fettuccine;Beef;Tomato;None
PAS201;Beef Fettuccine with Pesto;Like you never seen before.;Fettuccine;Beef;Pesto;Herbs
PAS202;Beef Fettuccine with Pesto;Like you never seen before.;Fettuccine;Beef;Pesto;Pepper
PAS203;Beef Fettuccine with Pesto;Like you never seen before.;Fettuccine;Beef;Pesto;Garlic
PAS204;Beef Fettuccine with Pesto;Like you never seen before.;Fettuccine;Beef;Pesto;None
PAS205;Beef Fettuccine;Hearty.;Fettuccine;Beef;None;Herbs
PAS206;Beef Fettuccine;Hearty.;Fettuccine;Beef;None;Pepper
PAS207;Beef Fettuccine;Hearty.;Fettuccine;Beef;None;Garlic
PAS208;Beef Fettuccine;Hearty.;Fettuccine;Beef;None;None
PAS209;Chicken Fettuccine Alfredo;Surprisingly enough, Alfredo doesn't exist in Italy.;Fettuccine;Chicken;White Cream;Herbs
PAS210;Chicken Fettuccine Alfredo;Surprisingly enough, Alfredo doesn't exist in Italy.;Fettuccine;Chicken;White Cream;Pepper
PAS211;Chicken Fettuccine Alfredo;Surprisingly enough, Alfredo doesn't exist in Italy.;Fettuccine;Chicken;White Cream;Garlic
PAS212;Chicken Fettuccine Alfredo;Surprisingly enough, Alfredo doesn't exist in Italy.;Fettuccine;Chicken;White Cream;None
PAS213;Tomato Basil Chicken Fettuccine;It's like a cleanse for your body.;Fettuccine;Chicken;Tomato;Herbs
PAS214;Tomato Basil Chicken Fettuccine;It's like a cleanse for your body.;Fettuccine;Chicken;Tomato;Pepper
PAS215;Tomato Basil Chicken Fettuccine;It's like a cleanse for your body.;Fettuccine;Chicken;Tomato;Garlic
PAS216;Tomato Basil Chicken Fettuccine;It's like a cleanse for your body.;Fettuccine;Chicken;Tomato;None
PAS217;Pesto Fettuccine with Chicken Alfredo;So is this pesto or alfredo?;Fettuccine;Chicken;Pesto;Herbs
PAS218;Pesto Fettuccine with Chicken Alfredo;So is this pesto or alfredo?;Fettuccine;Chicken;Pesto;Pepper
PAS219;Pesto Fettuccine with Chicken Alfredo;So is this pesto or alfredo?;Fettuccine;Chicken;Pesto;Garlic
PAS220;Pesto Fettuccine with Chicken Alfredo;So is this pesto or alfredo?;Fettuccine;Chicken;Pesto;None
PAS221;Lemon Garlic Fettuccine;It's refreshing to see lemon being the main player in a pasta dish;Fettuccine;Chicken;None;Herbs
PAS222;Lemon Garlic Fettuccine;It's refreshing to see lemon being the main player in a pasta dish;Fettuccine;Chicken;None;Pepper
PAS223;Lemon Garlic Fettuccine;It's refreshing to see lemon being the main player in a pasta dish;Fettuccine;Chicken;None;Garlic
PAS224;Lemon Garlic Fettuccine;It's refreshing to see lemon being the main player in a pasta dish;Fettuccine;Chicken;None;None
PAS225;Fettuccine with Creamy Seafood Sauce;Taste like it costs $50.;Fettuccine;Seafood;White Cream;Herbs
PAS226;Fettuccine with Creamy Seafood Sauce;Taste like it costs $50.;Fettuccine;Seafood;White Cream;Pepper
PAS227;Fettuccine with Creamy Seafood Sauce;Taste like it costs $50.;Fettuccine;Seafood;White Cream;Garlic
PAS228;Fettuccine with Creamy Seafood Sauce;Taste like it costs $50.;Fettuccine;Seafood;White Cream;None
PAS229;Seafood Fettuccine;Like a hug to your soul.;Fettuccine;Seafood;Tomato;Herbs
PAS230;Seafood Fettuccine;Like a hug to your soul.;Fettuccine;Seafood;Tomato;Pepper
PAS231;Seafood Fettuccine;Like a hug to your soul.;Fettuccine;Seafood;Tomato;Garlic
PAS232;Seafood Fettuccine;Like a hug to your soul.;Fettuccine;Seafood;Tomato;None
PAS233;Creamy Pesto Fettuccine;Its so creamy and hearty that Im having a mini cardiac arrest.;Fettuccine;Seafood;Pesto;Herbs
PAS234;Creamy Pesto Fettuccine;Its so creamy and hearty that Im having a mini cardiac arrest.;Fettuccine;Seafood;Pesto;Pepper
PAS235;Creamy Pesto Fettuccine;Its so creamy and hearty that Im having a mini cardiac arrest.;Fettuccine;Seafood;Pesto;Garlic
PAS236;Creamy Pesto Fettuccine;Its so creamy and hearty that Im having a mini cardiac arrest.;Fettuccine;Seafood;Pesto;None
PAS237;Seafood Fettuccine;Like a hug to your soul.;Fettuccine;Seafood;None;Herbs
PAS238;Seafood Fettuccine;Like a hug to your soul.;Fettuccine;Seafood;None;Pepper
PAS239;Seafood Fettuccine;Like a hug to your soul.;Fettuccine;Seafood;None;Garlic
PAS240;Seafood Fettuccine;Like a hug to your soul.;Fettuccine;Seafood;None;None
PAS241;Fettuccine Carbonara;Just plain delicious. Emphasis on the plain.;Fettuccine;None;White Cream;Herbs
PAS242;Fettuccine Carbonara;Just plain delicious. Emphasis on the plain.;Fettuccine;None;White Cream;Pepper
PAS243;Fettuccine Carbonara;Just plain delicious. Emphasis on the plain.;Fettuccine;None;White Cream;Garlic
PAS244;Fettuccine Carbonara;Just plain delicious. Emphasis on the plain.;Fettuccine;None;White Cream;None
PAS245;Fettuccine with Creamy Tomato;As if normal tomato sauce isn't flavorful enough, its now creamy too!;Fettuccine;None;Tomato;Herbs
PAS246;Fettuccine with Creamy Tomato;As if normal tomato sauce isn't flavorful enough, its now creamy too!;Fettuccine;None;Tomato;Pepper
PAS247;Fettuccine with Creamy Tomato;As if normal tomato sauce isn't flavorful enough, its now creamy too!;Fettuccine;None;Tomato;Garlic
PAS248;Fettuccine with Creamy Tomato;As if normal tomato sauce isn't flavorful enough, its now creamy too!;Fettuccine;None;Tomato;None
PAS249;Fettuccine Pesto Pasta;Pesto is delicious with fettuccine too!;Fettuccine;None;Pesto;Herbs
PAS250;Fettuccine Pesto Pasta;Pesto is delicious with fettuccine too!;Fettuccine;None;Pesto;Pepper
PAS251;Fettuccine Pesto Pasta;Pesto is delicious with fettuccine too!;Fettuccine;None;Pesto;Garlic
PAS252;Fettuccine Pesto Pasta;Pesto is delicious with fettuccine too!;Fettuccine;None;Pesto;None
PAS253;Aglio e Olio;You can't imagine how many garlics are in a Aglio e Olio.;Fettuccine;None;None;Herbs
PAS254;Aglio e Olio;You can't imagine how many garlics are in a Aglio e Olio.;Fettuccine;None;None;Pepper
PAS255;Aglio e Olio;You can't imagine how many garlics are in a Aglio e Olio.;Fettuccine;None;None;Garlic
PAS256;Aglio e Olio;You can't imagine how many garlics are in a Aglio e Olio.;Fettuccine;None;None;None
